"Code","Name","Close","Chg","Vol","Turn","Dev","IO","BidQ","AskQ","Cap","Val"
"3596","智易","161","0.63","1084","0.49","-0.2","51.95","42","9","22.04","1.75"
"3030","德律","290","1.75","710","0.3","1.22","44.63","6","13","23.62","2.03"
"9945","潤泰新","29.85","0.17","4652","0.16","-0.37","40.85","75","25","284.42","1.39"
"2103","台橡","27.75","1.83","5394","0.65","-0.25","47.79","8","7","82.57","1.5"
"3135","凌航","168","9.8","2084","2.14","3.64","71.15","26","0","9.73","3.38"
"6919","康霈*","109","6.34","5713","7.33","1.64","61.34","35","93","7.79","6.13"
"6206","飛捷","142","-1.73","1105","0.77","-0.57","33.24","23","9","14.31","1.58"
"2489","瑞軒","32.2","2.88","5706","0.94","2.65","50.41","5","12","61","1.79"
"6155","鈞寶","56.7","-2.41","1282","1.46","-1.66","35.43","13","16","8.8","0.7392"
"1709","和益","30.4","-6.61","7943","1.67","-2.28","33.83","10","1","47.7","2.47"
"6127","九豪","48.9","-1.61","1943","1.8","-0.43","37.08","6","9","10.81","0.9542"
"8033","雷虎","188.5","1.89","891","0.54","-0.28","52.59","13","4","16.46","1.68"
"6693","廣閎科","169","-2.87","908","1.99","-0.54","35.58","4","3","4.57","1.54"
"2851","中再保","44.2","9.95","4703","0.59","0","100","5067","0","80.04","2.08"
"5386","青雲","231.5","0.43","586","1.08","0.09","39.65","2","1","5.41","1.36"
"6177","達麗","47.1","3.74","6419","1.36","0.45","40.84","3","5","47.19","3.01"
"3033","威健","45.4","0.89","4257","0.82","0.42","48.47","4","7","52.09","1.92"
"1319","東陽","82.9","1.47","1738","0.29","0.42","63.19","5","30","59.15","1.43"
"6753","龍德造船","143.5","0.35","2888","2.46","-2.5","45.61","6","19","11.73","4.25"
"1597","直得","135","0.37","3219","3.6","-4.64","50.22","19","20","8.93","4.56"
"6491","晶碩","375","-0.13","781","1","-1.22","39.46","1","2","7.8","2.96"
"1810","和成","26.05","-0.19","12298","4.07","-2.76","47.2","107","3","30.23","3.29"
"6191","精成科","82.7","0.24","1081","0.22","-0.25","44.07","1","2","49.93","0.8963"
"6291","沛亨","377.5","0.4","272","0.65","0.76","41.89","1","2","4.2","1.02"
"3707","漢磊","62.9","2.44","2059","0.51","1.03","49.83","1","23","40.07","1.28"
"4566","時碩工業","68.4","-2.29","1692","1.53","-1.43","31.32","22","11","11.04","1.17"
"8155","博智","324","4.18","571","0.91","0.91","57.12","1","2","6.26","1.83"
"6944","兆聯實業","718","-1.91","190","0.19","-0.52","26.84","2","1","9.97","1.37"
"4764","雙鍵","206","1.48","1295","1.42","2.67","52.37","2","10","9.15","2.6"
"6588","東典光電","101","6.32","4421","12.74","1.38","54.15","24","26","3.47","4.4"
"4916","事欣科","99.3","-1.19","1793","1.44","-1.29","42.41","9","3","12.41","1.8"
"3048","益登","56","-1.75","1771","0.66","-0.25","37","10","9","26.98","0.9942"
"3714","富采","57","3.26","4047","0.55","0.25","54.32","2","119","73.79","2.3"
"7792","安葆","296.5","2.77","1839","3.94","-0.69","41.22","2","2","4.67","5.49"
"8926","台汽電","56.8","1.79","1550","0.19","0.6","60.05","4","47","83.03","0.8751"
"代碼","商品","0","0","0","0","0","0","0","0","0","0"
"TSE","加權指數","44859.98","0.31","73835908","0","0.18","47.91","0","0","0","7383.59"
"OTC","櫃買指數","389.54","1.23","17593755","0","0.46","51.23","0","0","0","1759.38"
"FITX*1","台股指數近月(一般)","44875","0.84","48414","0","0.27","50.16","2","2","0","0"
