"Code","Name","Close","Chg","Vol","Turn","Dev","IO","BidQ","AskQ","Cap","Val"
"3030","德律","289.5","1.58","736","0.31","1.01","46.05","5","4","23.62","2.11"
"9945","潤泰新","29.85","0.17","4938","0.17","-0.33","42.33","59","16","284.42","1.48"
"2103","台橡","27.85","2.2","5699","0.69","0.11","47.05","19","72","82.57","1.59"
"3135","凌航","168","9.8","2108","2.17","3.59","71.48","54","0","9.73","3.42"
"6919","康霈*","109","6.34","5916","7.59","1.58","59.33","55","171","7.79","6.35"
"6206","飛捷","142.5","-1.38","1207","0.84","-0.2","38.95","8","33","14.31","1.72"
"2489","瑞軒","32.45","3.67","6296","1.03","3.11","46.05","86","61","61","1.98"
"6155","鈞寶","56.7","-2.41","1424","1.62","-1.49","31.96","9","2","8.8","0.8197"
"1709","和益","30.3","-6.91","8468","1.78","-2.45","37.86","42","85","47.7","2.63"
"6127","九豪","48.95","-1.51","2100","1.94","-0.31","41.63","2","7","10.81","1.03"
"8033","雷虎","187.5","1.35","939","0.57","-0.77","50.37","13","4","16.46","1.77"
"6693","廣閎科","169","-2.87","944","2.07","-0.51","34.17","2","3","4.57","1.6"
"2851","中再保","44.2","9.95","4762","0.59","0","100","3923","0","80.04","2.1"
"5386","青雲","230.5","0","627","1.16","-0.33","38.79","4","3","5.41","1.45"
"6177","達麗","47.05","3.63","6553","1.39","0.34","41.82","283","30","47.19","3.07"
"3033","威健","45.35","0.78","4538","0.87","0.29","45.54","200","4","52.09","2.05"
"1319","東陽","83","1.59","1845","0.31","0.52","65.33","5","102","59.15","1.52"
"6753","龍德造船","144","0.7","3025","2.58","-2.07","47.92","15","8","11.73","4.45"
"1597","直得","135","0.37","3350","3.75","-4.47","48.3","17","6","8.93","4.73"
"6491","晶碩","374","-0.4","821","1.05","-1.42","41.82","10","1","7.8","3.11"
"1810","和成","26.05","-0.19","13089","4.33","-2.58","44.34","75","17","30.23","3.5"
"6191","精成科","82.6","0.12","1150","0.23","-0.36","41.47","12","11","49.93","0.9533"
"6291","沛亨","378.5","0.66","294","0.7","0.94","38.68","1","3","4.2","1.1"
"3707","漢磊","62.9","2.44","2207","0.55","0.96","46.88","67","65","40.07","1.38"
"4566","時碩工業","68.3","-2.43","1808","1.64","-1.47","29.35","30","16","11.04","1.25"
"8155","博智","324.5","4.34","590","0.94","1.03","57.99","1","1","6.26","1.9"
"6944","兆聯實業","715","-2.32","212","0.21","-0.84","24.06","1","1","9.97","1.53"
"4764","雙鍵","211","3.94","1434","1.57","4.65","57.14","2","2","9.15","2.89"
"6588","東典光電","101","6.32","4582","13.2","1.32","55.73","20","29","3.47","4.57"
"4916","事欣科","99.3","-1.19","1969","1.59","-1.18","47.01","8","10","12.41","1.98"
"3048","益登","56","-1.75","1848","0.68","-0.23","35.51","9","18","26.98","1.04"
"3714","富采","57","3.26","4474","0.61","0.23","58.65","51","98","73.79","2.54"
"7792","安葆","297.5","3.12","1886","4.04","-0.35","42.81","6","15","4.67","5.63"
"8926","台汽電","56.8","1.79","1678","0.2","0.57","62.76","26","4","83.03","0.9478"
"代碼","商品","0","0","0","0","0","0","0","0","0","0"
"TSE","加權指數","44933.74","0.48","79296259","0","0.32","48.79","0","0","0","7929.63"
"OTC","櫃買指數","389.96","1.34","18562632","0","0.54","51.79","0","0","0","1856.26"
"FITX*1","台股指數近月(一般)","44889","0.87","52089","0","0.28","50.54","1","2","0","0"
